instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);2004-247-130;"";glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De dertig meter brede barak staat opgesteld tegenover de trappen die leiden naar de Sint-Amandstraat, op de achtergrond is de O.L.V. Sint-Pieterskerk in vooraanzicht te zien. Het theater werd verlicht met gas, in de ingang zijn enkele lusters zichtbaar. Deze beeldopname spreekt niet voor de populariteit van het gewoonlijk drukbezochte theater: op het moment dat de foto gemaakt werd had geen van de passanten of omstanders oog voor de kermisattractie. Wellicht gebeurt er iets links buiten beeld.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;"";"";kermis$poppenspel$Sint-Pietersplein (Gent)$Gent;"";19de eeuw$jaren 1890;Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);2007-061-003;"";snuifdoos;Snuifdoos;Snuifdoos van hout met deksel van been.;"";"";"";"";"";"";"";rookwaren;"";"";"";""
Het Huis van Alijn (Gent);2003-002-155;circusattributen;poppenwagen;Poppenwagen van Polly Bentos;Kinderwagen met gele kuip, groene afschermkap, blauwe achterzijde en zwarte handgreep. Aan elke zijde bevindt zich één zwart en één wit wiel. Atribuut voor clownsnummer van Polly Bentos.;onbekend;"";"";"";1946;"";"";circus$clown;De Baets, Polydoor;jaren 1940;"";""
Het Huis van Alijn (Gent);2005-003-009;"";foto;Krachtpatser Raymond de la Ruelle met gewicht;Krachtpatser Raymond de la Ruelle (1866-1942) entertainde het publiek op de foor met het demonstreren van zijn uitzonderlijke kracht. Aanvankelijk bracht hij een klassiek programma: in een arena van zaagmeel tilde hij halters en gewichten. Geleidelijk aan besteedde hij meer aandacht aan de artistieke inbedding van de shows en nam het spektakelgehalte van zijn krachttoeren toe. Zo tilde hij onder meer zijn eigen foorbarak van de grond, torste een zeilbootje met tien matrozen of hief twintig toeschouwers op met behulp van een gigantische weegschaal. Doordat hij jaarlijks een nieuwe, originele show bracht, was zijn fortuin snel gemaakt. In 1899 verliet hij de foor en begon een café Chez Raymond in de Overpoortstraat in de Gentse circuswijk waar foorreizigers algauw hun vaste stek hadden.;"";"";"";"";"";"";"";kermis$Gent;"";19de eeuw$jaren 1980;krachtpatser;de la Ruelle, Raymond
Het Huis van Alijn (Gent);1974-294-002;"";pop;Stokpopje met roze rok en groen bovenstuk;Stokpopje op zwarte voet met grijze rand. De witte, knopvormige kop is voorzien van zwarte ogen, haar en neus, rode mond en blauwe ogen. Het katoenen onderkleed met kleine franjes heeft een kanten randje. Onderaan is de rand van het kleed dubbel gefronst. De pop draagt een roze rok, in de taille is een band in dezelfde roze kleur die sluit met een strik op de rug. Het bovenstuk is van bleekgroen satijn en heeft een V-hals. De mouwen en de hals zijn afgerond met een kanten randje. Rond de hals draagt de pop een snoertje met rode kralen. De handjes zijn met een metalen ringetje en plaaster omgeven.;onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);1965-089-015;"";stangpop;Kabouter Boum;Stangpop van kabouter Boum. Kop met oranjerode puntmuts en grijze baard. Groen jasje (nu gelig) en kniebroek met gele schort. Rondom de hals draagt de kabouter een halsketting van zwarte pailletten. De pop heeft zwarte laarzen. Poppenkastpop van het Spelleke van de Muide.;"";"";"";"";"";"";"";poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;kabouter$muts$baard;""
Het Huis van Alijn (Gent);2007-033-040;"";digitale afbeelding;Circusartiesten tijdens een tournee in Zuid-Amerika, 1926-1927;Groepsportret van circusartiesten tijdens een tournee in Zuid-Amerika, onder hen de 3 Bento's.;"";"";"";"";1926;"";1927;circus$clown$acrobaat$Zuid-Amerika;"";jaren 1920;witte clown$august$paard;De Baets, Polydoor$Frans, René$Storms, Joseph
Het Huis van Alijn (Gent);2004-247-048;"";glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Twee verklede en gemaskerde carnavalsvierders kijken binnen door de ramen van een gebouw op de Kouter in Gent. Achter hen staan enkele burgerdames en kinderen.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;"";"";carnaval$verkleedpartij$feest$Gent;"";jaren 1890$19de eeuw;verkleedkleding$masker$Kouter (Gent);""
Het Huis van Alijn (Gent);2007-167-015;"";postkaart;Joyeux Noël;"";"";"";"";"";1909;"";"";Kerstmis$winter;"";jaren 1900;kerstboom$sneeuw;""
Het Huis van Alijn (Gent);2003-001-091;circuskostuums$hoofddeksels;hoed;Hoed van clown Jojo French;Witte vilten hoed in kegelvorm met decoratief element. Afkomstig van clown Jojo French.;"";"";"";"";"";"";"";circus$clown;Chabre, Joseph;"";"";""
Het Huis van Alijn (Gent);2003-001-196;circuskostuums$kledingaccessoires;gordel;Riem van zwart leer;Riem van zwart leer met vier gespen als sluiting. Open structuur: haakwerk van leer. Attribuut van krachtpatser John Massis.;"";"";"";"";"";"";"";circus$krachtpatser;Massis, John;"";"";""
Het Huis van Alijn (Gent);FO-40-00652;"";digitale afbeelding;Meisje met pop op Sinterklaasdag, Oostende, 1947;"";"";"";"";"";1947-12-06;"";"";speelgoed$Sinterklaas$mode$Oostende;"";jaren 1940;pop;""
Het Huis van Alijn (Gent);2007-158-001;"";wafelijzer;Wafelijzer in geëmailleerd metaal;Wafelijzer in (rood, oranje en grijs) geëmailleerd gietijzer, met twee oogpennen en dubbel zijwaarts scharnier. Er is een bijhorend opzetstuk voor kachel (in hetzelfde kleurpallet) waarin het wafelijzer kan worden geplaatst en gekanteld.;onbekend;"";"";"";"";"";"";keuken$voedsel$gebak$huishouden;"";"";"";""
Het Huis van Alijn (Gent);2007-119-209;educatief speelgoed;microscoop;Microscoop voor kinderen;"";Tasco;fabrikant;Japan;"";"";"";"";speelgoed;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2003-002-120;circusattributen;hoofdsteun;Hoofdsteun van Brux;Ovale ring van leer met rekker. Hulpstuk voor de circusact Kop op kop.;onbekend;"";"";"";"";"";"";circus$acrobaat;Demeyer, Pierre;"";"";""
Het Huis van Alijn (Gent);1978-322-023;"";nieuwjaarskaart;Nieuwjaarskaart Société Royale d’Histoire Naturelle, Gent, 1893;Nieuwjaarskaart voor het jaar 1893, gericht aan de leden van de Koninklijke Maatschappij voor Natuurgeschiedenis te Gent of Gentse Zoo. Met afbeelding van een kinderfeest. Drukkleur: zwart. Opschrift: Société Royale d’Histoire Naturelle Gand. Jardin Zoologique. Fêtes d'enfants. Fides et Amor. 1893. Ch. Canepeel.;Heins, N.;drukker;Gent;"";1893;"";"";nieuwjaarsdag$Gent$dierentuin;Dierentuin (Gent)$Société Royale d'Histoire Naturelle (Gent);jaren 1890$19de eeuw;aap$kind$papegaai;""
Het Huis van Alijn (Gent);2004-262-077;kinderkleding;doopmantel$doopkleed;Doopkleed met cape;"Wit doopkleed met bijhorende cape. Beide in stevige witte katoenen stof met geweven vierkantjes als motief. 
Het doopkleed sluit met elf knopen overtrokken in wit katoen, in de mouwtjes is een stukje kant met bloemmotief ingezet en afgewerkt met wit biesje. Achteraan getailleerd en met drie grote plooien. 
De korte cape is rondom afgeboord met een stuk witte kant met bloemmotief en witte biesjes, de cape sluit bovenaan met een enkele met stof overtrokken knoop.";"";"";"";"";"";"";"";doopsel$geboorte$baby;"";"";"";""
Het Huis van Alijn (Gent);DIA-0027-0022;"";diapositief;Reclamestoet bij bloemencorso, Wommelgem;"";"";"";"";"";"";"";"";optocht$bloemencorso$vervoer$Wommelgem;"";jaren 1970;auto$bloem (plant);""
Het Huis van Alijn (Gent);FO-30-00500;"";digitale afbeelding;Studioportret van communicant, 1936;"";Sacré;fotograaf;Gent;"";1936;"";"";communie;"";jaren 1930;communicant$studioportret;""
Het Huis van Alijn (Gent);2004-247-080;"";glasnegatief;Nar in historische stoet 'Gent door de eeuwen heen', 1894;Een nar van één van de vijf Gentse Kamers van Rhetorica (De Fonteinisten) staat op een paard in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Hij wordt geflankeerd door twee stoetbegeleiders. De foto is gemaakt op de Kouter, ter hoogte van zaal Concorde. Ch. Van Lokeren nam deze moeilijke acrobatenrol op zich.;Vander Haeghen, Arnold;fotograaf;"";"";1894-07-29;"";"";optocht$Kouter (Gent)$Gent;"";jaren 1890$19de eeuw;paard$Kouter (Gent);""
Het Huis van Alijn (Gent);2006-035-565;vlak textiel;vaandel;Vaandel Carnaval Aalst, 1935;Paarse zijden vaandel, onderaan afgerond. Op het vaandel is een figuur geschilderd met een staf in zijn hand en twee hoorns op zijn hoofd. Bovenaan staat in witte geschilderde letters Stad Aalst 1935 en onderaan Carnaval. Het vaandel is gevoerd met bruine gefigureerde zijde. De randen zijn versierd met een breed gouden passement en franjes. Het vaandel hangt met vier lussen aan een houten roede. Aan de roede hangt een breed gouden koord.;"";"";"";"";1935;"";"";Aalst$carnaval;"";jaren 1930;"";""
Het Huis van Alijn (Gent);2009-101-026;"";prent;Wenskaart voor Nieuwjaar;Wenstkaart voor Nieuwjaar met tekst: Dooresele 1905, Bonne et heureuse Année chère Madeleine. Anna, Joseph, Jean.;"";"";"";"";1905;"";"";nieuwjaarsdag;"";jaren 1900;bloem (plant);""
Het Huis van Alijn (Gent);1973-519-002-877;"";verzamelkaart;Le carnaval à Venise;Le carnaval à Venise sur la Piazetta/ Au théâtre/ En gondole/ Sur la place St. Marc/ Sur le grand escalier/ Au restaurant.;Liebig;fabrikant;"";"";1892;"";"";carnaval$verkleedpartij$feest$Venetië;"";19de eeuw;gondel$muziekinstrument$masker$verkleedkleding;""
Het Huis van Alijn (Gent);2003-001-012;circuskostuums;clownspak;Kostuum van clown Jojo French;Clownspak met wijde broekspijpen, hoog opgezette schouders en bezet met pailletten.;"";"";"";ca.;1950;"";"";circus$clown;Chabre, Joseph;jaren 1950;"";""
Het Huis van Alijn (Gent);2002-078-733;"";affiche;Affiche voor de clowns Nicador en Jo, ca. 1950;Affiche voor de clowns Nicador en Jo. Donkerrode achtergrond, witte randen. Gekleurde tekening: witte clown Nicador met een witte hoed en clown Jo met een ronde, zwarte bril.;"";"";"";ca.;1950;"";"";clown$circus;"";jaren 1950;witte clown$august;Tréhout, Gustave
Het Huis van Alijn (Gent);2003-001-054;circuskostuums;badjas;Kostuum van acrobate Nadia De Baets;Rode mantel van acrobate Nadia De Baets.;"";"";"";"";"";"";"";circus$acrobaat;De Baets, Nadia;"";"";""
Het Huis van Alijn (Gent);1976-173-268;"";speelgoedtrein;Rode wagon van speelgoedtrein;"";onbekend;"";"";"";"";"";"";speelgoed$vervoer;"";"";"";""
Het Huis van Alijn (Gent);2002-078-485;"";affiche;Affiche voor Circus De Jonghe in Belgisch Congo, 1955;Affiche voor Circus De Jonghe. Blauwe achtergrond. Gekleurde tekeningen: een clownshoofd, een artiest met draaiende borden, een antipodist, vijf ladderacrobaten, vier apenkopjes, een olifant, een artieste met duiven, twee acrobaten met tonnen op tafels, een vliegtuigje met een trapeze en een trapezist, een zwarte man.;Leysen;drukker;Mechelen;"";1955;"";"";circus$acrobaat$clown$jongleur$Congo;De Jonghe (circus);jaren 1950;olifant$aap$august$trapezist$antipodist$bordendraaier$vliegtuig;""
Het Huis van Alijn (Gent);2002-078-219;"";affiche;Affiche voor Circus Bobbejaan Schoepen in De Panne, 1959;Affiche voor Circus Bobbejaan Schoepen. Tekstaffiche met foto. Blauwe en rode druk op wit papier. Afbeelding van Bobbejaan Schoepen op steigerend paard.;Periodica;drukker;Brussel;"";1959;"";"";De Panne$circus$westernartiest;Tondeurs (circus);jaren 1950;paard;Schoepen, Bobbejaan
Het Huis van Alijn (Gent);2002-078-862;"";affiche;Affiche voor Circus De Jonghe, ca. 1925;"Affiche voor Circus De Jonghe. Witte (vergeelde) randen. Gekleurde tekening: een zicht binnen in het circus-theater De Jonghe, verschillende artiesten op de piste: trapezisten, antipodisten, clowns, een artieste op een paard, een dresseur met steigerende circuspaarden; op de achtergrond het publiek; links het portret van circusdirecteur Joseph De Jonghe.";Geûens - Willaert, G.;drukker;Brugge;ca.;1925;"";"";circus$clown$acrobaat$jongleur;De Jonghe (circus);jaren 1920;paard$august$witte clown$trapezist$circuspiste;De Jonghe, Joseph
Het Huis van Alijn (Gent);FO-80-00018;"";digitale afbeelding;Thuiskomst van de kraamkliniek, Aarsele, 1980;"";"";"";"";"";1980-03;"";"";geboorte$Aarsele;"";jaren 1980;baby;""
Het Huis van Alijn (Gent);2002-078-805;"";affiche;Affiche voor Les 4 Soeurs Semay, ca. 1920;"Affiche voor Les 4 Soeurs Semay. Blauwe achtergrond, witte randen. Gekleurde tekeningen: portrettekening van de 4 Soeurs Semay; onderaan in het midden in een sierkader de 4 Soeurs Semay in twee acrobatische opstellingen aan de trapeze. Circusdirecteur Pierre Semay had acht kinderen, zij werden al vroeg ingeschakeld in het programma van zijn Circus Semay. De vier oudste dochters Christine, Leonie, Malvina en Chérie traden op als Les 4 Soeurs Semay. Deze volleerde acrobates brachten een gewaardeerd optreden met sensationele krachtoefeningen aan de trapeze.";Dupuis, H. A.;drukker;Ganshoren;ca.;1920;"";"";circus$acrobaat;Semay (circus)$Les 4 Soeurs Semay;jaren 1920;trapezist;Semay, Christine$Semay, Leonie$Semay, Malvina$Semay, Chérie
Het Huis van Alijn (Gent);1973-470-032;poppenaccessoires;decorstuk;Stoeltje voor pop;Stoeltje van hout voor pop. Het zitvlak is vierkantig. De hoeken zijn afgerond. De randen zijn afgebiesd met een zwarte lijn. De stoel heeft twee armleuningen. De rugleuning bestaat uit twee ronde richels bovenaan met ertussen een versiering (afgerond) en onderaan ook met een richel. Deze zijn met elkaar verbonden met negen verticale richels. De poten zijn lichtjes uitgeschuind en zijn verbonden met vier richels. Deze zijn aan de zijkant hoger geplaatst.;onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);1972-157;"";blokpuzzel;Blokpuzzel;"";onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);2003-375;"";speculaasplank;Speculaasplank met dubbelzijdige versiering;Speculaasplank met dubbelzijdige versiering. Aan een zijde wordt een man met muts afgebeeld. Hij rookt een pijp en draagt een zakje in de linkerhand. Op de andere zijde staat een vrouw met bunselkind.;"";"";"";"";"";"";"";bakker$voedsel$handel;"";"";"";""
Het Huis van Alijn (Gent);2007-010-264;"";programma;Programma van Circus Demuynck, 1951;"";"";"";"";"";1951;"";"";circus;Demuynck (circus);jaren 1950;paard;""
Het Huis van Alijn (Gent);2007-165-001;"";postkaart;Kinderbrenger;"";"";"";"";"";1905;"";"";geboorte;"";jaren 1900;bloemkool$baby;""
Het Huis van Alijn (Gent);2002-078-344;"";affiche;Affiche voor circus Demuynck in Namen, 1957;Affiche voor Cirque Demuynck. Tekstaffiche. Rode en zwarte druk op geel papier, rood sierkader met gele sterren.;"";"";"";"";1957;"";"";Namen$circus;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);2007-012-036;"";digitale afbeelding;Circustent van Cirque Congo, 1969;De tent van Cirque Congo, het circus van Victor De Jonghe.;"";"";"";"";1969;"";"";circus$Congo;De Jonghe (circus);jaren 1960;circustent;""
Het Huis van Alijn (Gent);2003-002-016;circusattributen;mondstuk;Mondstuk van trapeziste Zulma Demeyer;"";"";"";"";"";"";"";"";circus$acrobaat$trapezist;Demeyer, Zulma;"";"";""
Het Huis van Alijn (Gent);2002-078-745;"";affiche;Affiche voor de voorstelling Robin Hood en de kunstenmakers van Teater Circus Pauwels, ca. 1991;"Affiche voor de voorstelling Robin Hood en de kunstenmakers van Teater Circus Pauwels. Rood-groen kader met sterren, eikels en eikenbladeren, witte randen. Gekleurde tekeningen, gemaakt door Jdp: Robin Hood, een meisje en een koningin (bovenaan); een zwaard (midden); een tijger, een man en een eekhoorn in een bos (onderaan). Tekst bovenaan: Teater Pauwels Circus stelt voor. Tekst onderaan: Robin Hood en de kunstenmakers; Regie: Marc Pauwels (Circusdirekteur), Claude Marissael (Minardschouwburg Gent); Totaalspektakel met Vlaamse akteurs en internationale circusartiesten. Met leeuwen, tijgers, poema, luipaard, poney's, bambi's, everzwijnen, enz... Een bonte mengeling van teater- en circuskunst. Enig in Europa!. Onderaan sponsorlogo's van De Krant van West-Vlaanderen en van De Streekkrant.";"";"";"";ca.;1991;"";"";circus$theater;Pauwels (circus);jaren 1990;tijger;Hood, Robin
Het Huis van Alijn (Gent);FO-60-00770;"";digitale afbeelding;Mensen op parking bij auto's, Italië, 1960;De auto links is een DKW 3=6 (1953-1959), de auto rechts is een Fiat 600 (1955-1969).;"";"";"";"";1960-07-30;"";"";Fiat$DKW$toerisme$vakantie$vervoer;"";jaren 1960;auto;""
Het Huis van Alijn (Gent);2004-247-071;"";glasnegatief;Jacob Van Artevelde in historische stoet 'Gent door de eeuwen heen', 1894;Jacob Van Artevelde, uitgebeeld door een lid van de Katholieke Kring, rijdt te paard in de historische stoet 'Gent door de eeuwen heen' op 29 juli 1894. Hij wordt in de stoet gevolgd door zijn tijdgenoten Willem van Vaernewijck, Gelnoot van Lens, Pieter Van Hovene, Willem Van Huse, hertog van Brabant Jan III en graaf van Holland en Henegouwen Willem II, waarvan er enkelen op de foto te zien zijn. De opname is gemaakt op de Kouter, ter hoogte van zaal Concorde.;Vander Haeghen, Arnold;fotograaf;Gent;"";1894-07-29;"";"";optocht$Kouter (Gent)$Gent;"";jaren 1890$19de eeuw;Kouter (Gent)$paard;""
Het Huis van Alijn (Gent);2002-078-366;"";affiche;Affiche voor Cirque Demuynck in Gent, 1955;"Affiche voor Cirque Demuynck. Gele achtergrond met wit tekstvak. Gekleurde tekeningen: twee steigerende paarden en twee vlaggen (bovenaan); een clown, een trapezist, een circusdirecteur, een zeehond met een bal (links); een leeuw op een postament, twee evenwichtsacrobaten, een steigerende olifant op een postament (rechts); een hondje en twee mannen met emmers (onderaan).";Rogefranc$Fockenier, A. & L.;drukker$drukker;Gent$Brugge;"";1955;"";"";Sint-Pietersplein (Gent)$circus$kermis$Gent;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);1926-475;"";stangpop;Duivel;Stangpop van een duivel. De poppenkastpop heeft een zwarte kop met rode accenten. De hoorns, lange uithangende tong en oren zijn in reliëf weergegeven. De romp is eveneens zwart met rode accenten (ribben en spieren). De armen zijn vervaardigd van textiel. De handen en de benen zijn van zwartgeverfd hout. De pop draagt een rok met franjes met daaronder een langere onderrok. Pop van het poppentheater Blauwers in de Sint-Lievenspoortstraat - Rijke Klarestraat in Gent.;"";"";"";"";"";"";"";poppenspel$Gent;Spelleke van Blauwers;"";duivel;""
Het Huis van Alijn (Gent);2008-074;"";speelgoedwapen;Speelgoedwapen van metaal;"";onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);1983-117-005;"";postkaart;Koppel kiest baby uit kolenveld;"";"";"";"";"";1905;"";"";geboorte;"";jaren 1900;kool (groente)$baby;""
Het Huis van Alijn (Gent);1973-119-059;decoratief object;speelgoedfiguur;Meisje met schortje;Een zelfgemaakte speelgoedfiguur uit hout. De speelgoedfiguur diende als versiering voor een kinderkamer.;onbekend;"";België;"";"";"";"";speelgoed;"";"";"";""
